,review,rating,date,country
10,"Not Verified | Do not fly with Emirates and FlyDubai. Extremely poor management from Emirates and Dubai Airport. Did not have permission to leave Baghdad and had to wait for 4 hours and arrived late to connection flight to Sydney. Once arrived to Dubai, provided new flight in 9 hours with no accommodation and no other services. This is an example of extreme mismanagement of Dubai Airport and Emirates. And when you ask their staff for help, they literary try to ignore you.",2,22nd February 2024,Australia
11,"✅ Trip Verified |  Booked flight on Emirates website but first part of journey was from regional Australia with Qantas flight. Luggage checked all way through to Dubai so did not have to transfer it at Brisbane. Checked in on line and when arrived in Brisbane the customer service was very good allowing us to change seats to back of plane as was not a full flight so had 3 seats for 2 passengers, a very comfortable flight and the cabin crew bringing around drinks between meal service. Arrived Safely in Dubai on time.",1,21st February 2024,Australia
12,"Not Verified |  A real disappointment. Emirates costs 25% more than Etihad or Qatar for the same route, but the service was bad. First flight was 2,5 hours late. The seat I selected was reassigned by the system and no explanations were given at the counter. Return flight was 1 hour late. Online check in system was down for two days and I could not select a seat (getting a terrible one location at the check-in counter). Guess this is my last time with Emirates, since there are cheaper and better performing options on the same route.",10,12th February 2024,Italy
13,"Not Verified |  I flew the same route last year, and it is obvious that Emirates are using older planes on this route. Screens do not stay in place and no usb port at seat. Food was acceptable and crew friendly. More modern aircraft would improve the experience.",2,11th February 2024,United Kingdom
14,"✅ Trip Verified |  First time i have lost my baggage after arrival and the help was next to nothing. 1 out of my 2 baggage was missing after we have arrived in Singapore airport. After waiting at the belt and asking a member of staff at the airport then we have found out that this baggage tag was no scanned at my transfer in Dubai. therefore the baggage was somewhere in Dubai not knowing if it has been identified or lost yet. The airport team gave me a Reference and told me that they will keep me updated. i asked for a number to call to the airport office and they provided a number on the form. Next day called the number it was a switch board and after multiple attempts and speaking to the agent you cannot transfer to the airport counter and they do not know anything They tell you that someone will be in touch but that is not true. The customer service helpline on Emirates website is useless as you cannot get through or speak to a real person for help. I had no idea the next couple of days where my luggage was or if it is lost? No communication what so ever throughout, multiple emails/ calls/ feedback to emirates but no response. The customer affair team takes 9 months to even reply. i have another outstanding experience in April 2023 from Tokyo to Manchester where of on my luggage was smashed and they have not offered any compensation but asked me to to go a repair centre for a quote after 8 months of the incident. Took them 8 months to acknowledge my claim and probably made 20 phone calls to change after multiple email. They have the worse customer service if you was to encounter a problem or issue.",8,8th February 2024,United Kingdom
15,"✅ Trip Verified |  My Emirates experience was horrific, starting at Delhi airport where ground staff threatened to deny boarding unless I forced my laptop into my carry-on.  Boarding pass retrieval led to another confrontation at the gate. Emirates staff at the gate confiscated my boarding passes, threatened baggage offloading, and harassed me for carrying my laptop bag separately. Only after pledging to stow my laptop bag under my seat was I allowed to board just before departure. Upon reaching LA, I discovered a missing bag. It took days for Emirates to locate it. Emirates staff, without notice or gate codes, knocked at midnight, delivering my damaged bag. How they accessed it remains a mystery. The bag was torn, belongings damaged, and some items were missing. Despite three complaints, Emirates provided no response. Despite reaching out multiple times, Emirates offered no explanations, leaving me frustrated and dissatisfied with their customer service. ",1,2nd February 2024,United States
16,"✅ Trip Verified | This was my first trip on Emirates. I paid $1,400 for my economy ticket. I also paid to select my seats. I specifically chose an aisle seat because I have neuropathy and needed to ensure I could stand up regularly to avoid blood clots & not disturb others. Immediately, I noticed the man sitting next to me, sharing an armrest with me, that he dominated, was sniffing and digging hard up his nose every couple of minutes nonstop. He would then touch everything around us, including the armrest. Each time he dug up his nose, he would grab the armrest that we shared in common. He also put his hand on my side and touched the screen, picked up something that fell and handed it to me. He was openly digging up his nose and touching everything while sniffing, indicating sickness. I was wearing a mask. He was not. I was entirely grossed out and very concerned for my health and safety. It was not a one time act, but a continuing behavior, every few minutes. I told attendants to observe his conduct too. The flight was over 12 hours long and I could not stomach this nasty behavior the long flight and risk my fragile health and safety sitting next to this man, imagine trying to eat next to him. I spoke to the flight attendants a minimum of three different times. Their eventual solution was to move me from my seat up front to the very back of the airplane, far from my colleagues. I was traveling with three companions, two sitting in front of me and one in first class. Our paid seats were the first seats behind economy preferred class. There were dozens of available seats in that section that were close to my companions and only a few feet away from the section I was sitting in that I paid for. Rather than make my health a priority and move me to a safer section, they attempted to move me to the very back of the plane. They said they couldn't say anything to the man. I didn't want to leave my companions. It was so frequent that I took evidence the entire flight to prove it. The only time he used a napkin was when they served food, and he used the one from his tray to clean his nose. That is the napkin he dropped on me, reaching over me to the stewardess. It was their jobs to help keep me safe. I was content in the seat I purchased near the front, on the aisle. I wasn't seeking to be upgraded. But if those were the only seats available, in close proximity to the seat I purchased, and still near my companions; rather than make me sit over 12 hours stressed out trying to avoid bodily fluids; put at a health & safety risk sitting next to a man openly wiping his bodily fluids on my seat, the armrest & me, they should have moved me to those seats, not the back of the plane. ",1,25th January 2024,United States
17,"✅ Trip Verified | Check in desk at Montreal airport going to Philippines: We were traveling as a family with my senior mom, my wife and my infant that was 11months old. We did our check in online and made sure we chose a bulkhead seat to be able to use the basinet. To our surprise when we got to the plane they have changed our seats without letting us know. Very inconvenient and stressful since we where counting on those seats. The explanation they gave to us was that when there is a change of the type of plane they can not guarantee the seats we chose. I believe thats not a good reason to give and is a sorry excuse. If there is a change of any sort they have the responsibility to let us know I would have been glad to pay for a better seat. Morever, our return flight was even worst. At the checkein gate right before boarding,from Dubai to Montreal, they told us that we needed to check-in our carryon bags since there was no space on the overhead storage due to full capacity. We told them that we can not do so since we have an infant with us and that the carry on and baby diaper bags where a must, plus her toys,formula and food etc. They still refuse and told us we needed to check in our carry on. We were within what we were allowed to bring to the plane and still we needed to check in our things. I find this ridiculous. They do not meet the product that they are offering or selling and they have no sence of transparency at this point and a sense of understanding the situation we were in. The staff also was rude and just ignored my concerns. Not a family friendly airline thats for sure. Food and entertainment: horrible and tastless and the 2 planes going back from philippines to Dubai and transit then to Montreal my entertainement screen were broken. Staff in the plane I can clearly see that they do their best but are sometime not found when you need them, especially in a long haul flight when everyone is sleeping. The gally where you can get drinks and snack where over flow with garbage everywhere",2,22nd January 2024,Canada
18,"✅ Trip Verified |  I have just completed a trip Johannesburg to Dallas via Dubai, returning from LAX, and cannot fault them in any way. All flights were on time, staffed by efficient, courteous staff and seats were extremely comfortable. In addition, the other services afforded by Emirates for Business Class passengers - a) the chauffeur service, which I used twice, and b) the promise of a hotel room if your layover is longer than 6 hours - mine was 9 hours - worked extremely efficiently, and I was housed at a top class hotel.",3,19th January 2024,South Africa
19,"✅ Trip Verified | I booked this airline because of the paid wifi option. It worked on the first leg of my trip (Manila to Dubai) but it didnt work at all on the 2nd leg (Dubai to Washington Dulles - 14 hours). This route to the US is longer than the Pacific route but I booked it precisely because it offered paid internet. Unluckily, the internet did not work on the longest leg. I filed a complaint to Emirates and they said that it is really not their problem and I should file a complaint to their internet service provider.",10,17th January 2024,Philippines
20,✅ Trip Verified |  The seat pockets were ripped and I was unable to store anything. When I used the tray my drink slid off bec the tray was unstable. I mentioned it to the staff but they acted like they didn't know what I was talking about. I used to regards Emirates as tops but very dissatisfied. Every aircraft was quite poor except the CPT/DXB and that was because I slept for the entire flight.,5,8th January 2024,New Zealand
21,"Not Verified |   My wife and I along with 2 friends took the Emirates flight from Newark, NJ to Athens in September 2023. We had never flown on Emirates but decided to give them a try over American or Delta. The numerous tv commercials with actress Penelope Cruz has subliminally triggered something that inspired me to convince my wife and friends that we should give them a try. At the time of our ""economy"" booking we decided to pay an additional $410 per couple for seat upgrades. We had opted to pay more for the 2 seats together rather than the sitting in a row of three or fours seat in the center of the plane. As soon as we boarded the plane and took our seats I knew the outbound flight was going to be torture. The 2 seats that we paid $205 extra for were so small with walled sides and hand rests that didn't move would have been great if we were all contortionists but unfortunately we were not. We made it to Athens 10 hours later and after a couple of good nights sleep we put this horrible memory behind us so as not to ruin our 2 week long awaited vacation. About a week into the trip we did some research on the web and decided to downgrade our return seats from the same mini seats that we flew out on and instead opted for the standard seats that were in the middle section of the plane that included 4 seats. This was a great move as our return flight was much more comfortable. When I contacted Emirates upon our arrival and asked to get back the $205 paid for the return downgraded seats, their reply was that they do not issue refunds for seat downgrades. That said, the 4 of us will never travel on Emirates again. As a postscript I want to mention that none of the 4 our us, all retired and in our late 60's are heavy or have large behinds, to the contrary, we are all smaller individuals who have never had any comparable torturous seats while flying anywhere in the world. Unless you are Penolope Cruz and get complimentary ""first class"" seating or opt to pay the additional thousands of dollars, stay away from Emirates. ",3,7th January 2024,United States
22,"✅ Trip Verified |   I went through hell when checking in. I had an extra luggage and the staff made me spend 2 hours re arranging and arranging the bags, the finally told me to trash one bag and to my surprise they still charged me $300 for extra kgs. The staff were also not polite and kept taking me in circles. Never will fly Emirates again",1,1st January 2024,United Arab Emirates
23,"✅ Trip Verified |  Lately it's not enjoyable travelling economy with Emirates. The boarding areas are too small with standing too only for many, the toilets on the flights are dirty, the food is average and the seats are cramped. Earphones don't work, choice of movies has become limited. On top of that, the last two flights, they have changed the legroom seats I paid Extra for for standard seats. On complaining, I was told to ask for a refund on my return. No compensation, no upgrade (payable or not). Basically they don't care. Having bought direct and paid £4000 on the tickets 2, it's not really good enough. It's not what it used to be. Economy is now cattle class.",3,31st December 2023,United Kingdom
24,"Not Verified |  Our family booked together and having flown for many years on Qatar Airways, expected that the family will be seated together. To our surprise we we each seated in different middle seats, including our child. The check In counter person was so rude when we asked to check if they can find an aisle seat since one of us needs it for health reason. We are so dissatisfied with the service. We have never encountered this kind of a situation in our 25 years of flying international.",5,26th December 2023,United States
25,"✅ Trip Verified |  I took 4 flights with Emirates and it was an absolutely miserable experience. You get more leg room on an AirAsia flight, the food tastes like garbage. And the rudest possible employees you can imagine. I have absolutely nothing positive to say about this airline. Avoid at all cost. Just pay a bit more for a better airline.",1,25th December 2023,Canada
26,"✅ Trip Verified | Following up to my previous review """"worst customer service"" 1 reviews J Deene (United Kingdom) 13th December 2023"" I'd thought I would update you on the progress of my complaint Thomas of Emirates Customer Services has been very unhelpful. Of having allergy/food issues heading to Tokyo Narita, I had the same going back plus 12 hours with a broken seat, no ICE Entertainment system and cabin crew unable to move me to another seat, however moved 3 others with no problems. (NRT-DXB EK318 25TH November 2023). I also got cellulitis on the the outbound journey the week earlier due to the issues onboard which DID affect my holiday a dream holiday I saved all year, the flight cost 90% of the money I paid, in the numerous email Thomas of Emirates Customer Service was unwilling to admit responsibility onboard was let down. Those food issue allergies that I told the airline in many months before the actual holiday. The Japanese holiday I am hoping to do every year, 2024 or 2025 won't be with Emirates they have shown lack of care, remember , ONLY caring for one thing the money you have in your bank account. For someone who won't be travelling with Emirates, Thomas of customer services decided 10000 skywards points is ""reasonable"".",1,22nd December 2023,United Kingdom
27,"Not Verified | My luggage got damaged and I got information to repair luggage. They have an agreement with a center in the city which doesn't have even Samsonite luggage or any spare items. I got to get the value of the luggage and trying to find out a solution how to follow up. Oslo doesn't get any responsibility and referring me to contact to Dubai. I don't understand how much a person whom incurred to a damage should myself spend time and money to follow up the case, calling to Dubai, going and finding spare part which is not easy and many other things since the customer service is very helpless.",1,22nd December 2023,Norway
28,"✅ Trip Verified |  I (via a travel agent) booked a round-trip business class flight with Emirates that ended in Queenstown, NZ. Upon arriving for a layover in Melbourne at 23:30 after a 13-hour business class flight from Dubai, I was looking forward to a shower. However, I was denied entry to the Emirates lounge, without any real explanation as to why. The gentleman at the counter was more interested in making me go away than helping me understand the situation, so, confused, I called Emirates ""customer service."" They bluntly informed me that if I wanted to use the lounge so badly, my travel agent should have booked the flight from Melbourne to Queenstown on Qantas. As it turns out, the leg from Melbourne to Queenstown that I had was on Emirates partner Jetstar. As Jetstar does not have a business class cabin, this one leg (out of 5 total legs) was economy. I should note that the entire itinerary was booked through Emirates, and part of my confusion stemmed from the fact that they all had Emirates flight numbers. But what I had here was an Emirates flight operated by Jetstar (and the same flight also had a Qantas flight number - one flight, three partners, three numbers). I should have gotten the Emirates flight operated by Qantas that was departing an hour later, as Qantas has a business class cabin, and it would have been the same cost anyway. If it's the same cost anyway, why not let me come in and take a shower? It's 1am and there is no one else here. Additionally, they do not care if the arriving flight is business, or if 4/5 legs are business, you are not special. No kindness, no attempts at understanding or helpfulness or smoothing over the situation. Just rudeness and criticism. A jarring and unpleasant surprise.",2,20th December 2023,United States
29,"✅ Trip Verified |  Emirates cancelled my flight on 8-12-23 and changed to 9-12-23. I cannot accept and ask for a change to 7-12-23. They told me ""there is no seats"" on this day, you can cancel in full for free. I cancel and receive a penalty for the cancellation and I buy a new ticket on the supposed ""no seats flight"". Impossible to make a complaint online. ",3,15th December 2023,Spain
30,"✅ Trip Verified |  I was travelling to Tokyo Narita via Dubai. In 2022 I had the meal issues on return journey from NRT To DXB when they could only offer a meal with items I have bad allergies to, Then second meal Cabin Crew forgot to offer, wouldn't give any water on 12.5 hour flight. for the recent one I contacted Emirates Customer Service that I have allergies for fish, mushroom and wholemeal, Customer service rep said ""bring your own food then and the crew will heat them up"" I said it will be taken off me at security at Glasgow if not Dubai"" he said no, the day came food was taken off me at Security at Glasgow. As backup they booked me a bland meal that wouldn't contain my allergies on DXB to NRT section (GLA-DXB meals were fine) which was Mushroom and second meal fish and mushroom. Which meant no food just a tiny bottle of water. I'm already worried about the return flights and worries were confirmed when once again meals offered with allergy items, Cabin crew I'll give credit concerned, very little food and water. Not just that my seat was broke, headphones broke and the so called ICE entertainment system wouldn't work, 12 hours nothing to do and crew couldn't move as they already moved others with similar problem, couldn't move myself. I recently got a response from Customer Service ""out of their control"" and one the flight cabin also said they would have refused the my own food and I wouldn't have gotten anything through Dubai for second flight. 2024 and 2025 holidays won't be with Emirates. Emirates are one of the worst customer service experiences.",2,13th December 2023,United Kingdom
31,"✅ Trip Verified | I was compelled to write a review for an airline because of the exceptional service I got from the whole team of the cabin crew. It was more of a great experience rather than a journey. Right from the entrance to the aircraft I was treated like a beloved family member who came to see the family after years by every staff member. Every single request was taken seriously and was addressed to the best of the availability. I felt that I was the only special passenger for them, they were super nice and highly empathetic in their body language. The air hostess assigned to my area was asking me every single time she passed by me with a great smile if all was good. When you enter the lounge you are greeted with super smiles, if you ask them something they come close to you holding shoulders to show attachment. They were all super devoted to their work, full of energy and trying to help everyone as much they can. I am a frequent flyer of Emirates, though the maintenance inside aircraft has compromised that fresh and modern look but their crew members compensated that by miles. My special thanks and 7 star to every single staff member in the busines class cabin.",1,12th December 2023,Canada
32,"✅ Trip Verified |  Check in and boarding was fast. Aircraft is 15 years old but clean and well maintained. Bathroom is clean and bvulgari was supplied. Cabin crew helpful, communicative and offer help, food, or drink. Departure on time and arrival early. I realized why Emirates is more expensive than others.",9,7th December 2023,Saudi Arabia
33,"✅ Trip Verified |  Emirates is always a good choice. Comfortable seats with a large seat pitch and good entertainment program. The on-board catering is good and sufficient. Check-in was extremely quick and the flight was on time. Only the on-board staff seemed annoyed on all flights and, accordingly, the speed and type of service was somewhat disappointing. The ticket prices are high but for a good airline worse to pay.",9,28th November 2023,Germany
34,"Not Verified |  When is extra leg room, extra leg room. 11 of us travelled on Emirates from Bham to Dubai/Sydney 28 October 23 and returned 16 Nov back into Bham EK0039 flight. We paid for extra leg room seats 80J K H so that we could relax and have sleep on the long journeys ahead of us. On 3 of the trips the air stewards were respectful of our space, given we were next to where they served the food and drinks with their trolleys. They were all quiet during the long flights once drinks and food had been served so myself, husband and son could sleep. However, on the flight from Dubai to Bham this could not be a worse experience if Emirates tried. The team were inexperienced (bar one professional) one of them swearing so we could hear F""** word as the curtains were left open, explaining what she required in men. The food and drinks trolley was left next to my husband within an inch of his feet so they stepped over him each time, apologising for waking him up over the next 3 hours. A team of 6 stood in our area having a meeting. After 4 hours into the 8 hr flight, I politely asked if they could move the trolley so we were not disturbed and it was really disrespectful given we had paid extra for the seat. The deputy and mgr came to see us to apologise and talk to their team and moved the trolley. I showed the mgr a picture. The mgr took my phone and email details to formally respond, but 9 days later still no response. Very disappointing, given 11 of us travelled. The previous 3 flights were really good.",9,28th November 2023,United Kingdom
35,✅ Trip Verified | This was a short but wonderful fifth freedom ride with Emirates. Despite the fairly short (just under 3 hours) flight Emirates was at the top of their game. Most of what I experienced has been documented many times but the personalized service I received was notable. A delicious meal was artfully served and no request was too much for the crew. A quick walk back to the lounge shared with business class was fun including light conversation with the bartender. Flight was on time and the mounted cameras were a fun way to watch the landing.,2,9th November 2023,United States
36,"✅ Trip Verified |  BNE-DXB-MAN on 4th & 5th Oct (EK435/EK017) and MAN-DXB-BNE on 19th & 20th Oct (EK020/EK434). All 4 flights in A380s, 3 in seating zone F and 1 in zone B. Seats relatively comfortable and cabin service OK but struggled to find something interesting to watch on IFE on all 4 sectors - that's why I always travel with a book - although watching Newcastle Utd hammer PSG at St James' Park live was a bonus on BNE-DXB sector. Unfortunately there was no wifi or ""live"" TV coverage on DXB-BNE return sector for which the crew apologised before departing DXB. Relatively uneventful flights that arrived & departed pretty much on time other than a 1hr delay on take off from DXB on final leg - pushed back from gate on time but held on ground for an hour due to ATC ""traffic"". Emirates actually provide a good ""one stop"" service from the east coast of Australia to Europe but the 14hr legs to & from DXB can be a struggle. Overall 7/10 and I would use again.",10,9th November 2023,Australia
37,"Not Verified |  I've always loved the Emirates A380 as a comfortable plane to fly but the Business Class cabin is simply too big for the crew and galley capacity, This was a late night departure from LHR where many passengers skipped the meal in favour of sleep, yet for those of us wishing to dine, it took over three hours to complete the service. The crew were inattentive and disinterested, just bringing up a course and then disappearing until they brought the next. It was Economy service with only slightly better food. The smaller cabin in the 777 leg was better service but a much poorer cabin experience. Very difficult in the middle seats, to relax and watch a film when your screen is right next to your neighbour's.",7,31st October 2023,United Kingdom
38,"✅ Trip Verified |  I couldn’t get a business saver so had to opt for more expensive business flex flight. I needed to book in August to use my airmiles. Lo and behold the saver tickets were released a week later making the price £600 cheaper. Emirates refuse to help, their excuse was all these people of 8 different flights had cancelled, therefore making the business saver available! It’s price rigging. Get everyone to buy the more expensive price, then sell the cheaper ones. They are a great airline until anything goes wrong. I can rebook the cheaper flight but it costs me £500 to cancel. Last time I will ever fly with them. ",6,27th October 2023,United Kingdom
39,"✅ Trip Verified |   It was my first experience with Emirates which was quite unpleasant by handling from the cabin crews. The screen was broken then they changed you from row 18 to row 45. However, they won’t change to one row before which 17 because all they care is selling the seats instead of passenger’s convenience. Also during 50 mins of turbulence they only allow business class passengers use the toilet and the whole economic class passengers were not allowed. Only BC PAXs have the skill to protect themself during turbulence and EC PAXs can’t do it? I wrote a complaints and they responded that I have accepted the alternative seat but actually I went to original seat which the screen was broken (including call button). This was such a horrible experience and could be the worst during the flight. Not sure I would recommend it to my friends or family.",1,20th October 2023,Belgium
40,"Not Verified | Emirates is an excellent airline, Excellent planes, excellent service, however, they should know that they are servicing all kind of people. On my flight they served Indian food only, when asked why can't I get other kind of food, I was told the this route serves about 65 percent Indian customers, what about the other 35 percent, I asked, got no answer or simply, they can go to hell. My only suitcase didn't arrive With me at my final distinction, they forgot it in Dubai, this is not the Emirates that was 10 years ago, it shouldn't use the logo ""fly better"" it should now have another logo that say ""Lose weight while flying Emirates"" since you will not eat for 36 hours on your round trip",3,18th October 2023,United States
